Feature ID	p;c;o;f;g;s
ASV_10038	d__Bacteria
ASV_10039	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Parvimonas
ASV_1004	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
ASV_10040	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax
ASV_10041	d__Bacteria
ASV_10042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccalis
ASV_10043	d__Bacteria
ASV_10044	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter hominis
ASV_10045	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae
ASV_10046	d__Bacteria
ASV_10047	d__Bacteria
ASV_10048	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus prevotii_A
ASV_10049	d__Bacteria
ASV_1005	d__Bacteria
ASV_10050	d__Bacteria
ASV_10051	d__Bacteria
ASV_10052	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Globicatella
ASV_10053	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales
ASV_10054	d__Bacteria
ASV_10055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900320845
ASV_10056	d__Bacteria
ASV_10057	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis
ASV_10058	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium
ASV_10059	d__Bacteria
ASV_1006	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV_10060	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10061	d__Bacteria
ASV_10062	d__Bacteria
ASV_10063	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__F0058 sp000163695
ASV_10064	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae
ASV_10065	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
ASV_10066	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella asaccharolytica
ASV_10067	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum naviforme
ASV_10068	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium hwasookii
ASV_10069	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter towneri_A
ASV_1007	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae
ASV_10070	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum
ASV_10071	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium maritypicum
ASV_10072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bergensis
ASV_10073	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales
ASV_10074	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10075	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter
ASV_10076	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus sp001809535
ASV_10077	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__Prosthecobacter sp002279765
ASV_10078	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter_736122
ASV_10079	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__W5053;s__W5053 sp000467935
ASV_1008	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella colorans
ASV_10080	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium
ASV_10081	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum
ASV_10082	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia
ASV_10083	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae
ASV_10084	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella
ASV_10085	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea
ASV_10086	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10087	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae
ASV_10088	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
ASV_10089	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii
ASV_1009	d__Bacteria
ASV_10090	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10091	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum
ASV_10092	d__Bacteria;p__Firmicutes;c__Clostridia
ASV_10093	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__28L;s__28L sp000177555
ASV_10094	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Lagierella;s__Lagierella massiliensis
ASV_10095	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus mediterraneensis
ASV_10096	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10097	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae
ASV_10098	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae
ASV_10099	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae
ASV_101	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1010	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV_10100	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris
ASV_10101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp003150235
ASV_10102	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10103	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus macerans
ASV_10104	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp900107575
ASV_10105	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae
ASV_10106	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp003150235
ASV_10107	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena sp000403295
ASV_10108	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__Rhodoluna lacicola
ASV_10109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales
ASV_1011	d__Bacteria
ASV_10110	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999
ASV_10111	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola
ASV_10112	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae;g__Sporichthya;s__Sporichthya polymorpha
ASV_10113	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales
ASV_10114	d__Bacteria
ASV_10115	d__Bacteria
ASV_10116	d__Bacteria
ASV_10117	d__Bacteria
ASV_10118	d__Bacteria
ASV_10119	d__Bacteria
ASV_1012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV_10120	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10121	d__Bacteria
ASV_10122	d__Bacteria
ASV_10123	d__Bacteria
ASV_10124	d__Bacteria
ASV_10125	d__Bacteria
ASV_10126	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10127	d__Bacteria
ASV_10128	d__Bacteria
ASV_10129	d__Bacteria
ASV_1013	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp000435795
ASV_10130	d__Bacteria
ASV_10131	d__Bacteria
ASV_10132	d__Bacteria
ASV_10133	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10134	d__Bacteria
ASV_10135	d__Bacteria
ASV_10136	d__Bacteria
ASV_10137	d__Bacteria
ASV_10138	d__Bacteria
ASV_10139	d__Bacteria
ASV_1014	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Lagierella;s__Lagierella massiliensis
ASV_10140	d__Bacteria
ASV_10141	d__Bacteria
ASV_10142	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10143	d__Bacteria
ASV_10144	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10145	d__Bacteria
ASV_10146	d__Bacteria
ASV_10147	d__Bacteria
ASV_10148	d__Bacteria
ASV_10149	d__Bacteria
ASV_1015	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea
ASV_10150	d__Bacteria
ASV_10151	d__Bacteria
ASV_10152	d__Bacteria
ASV_10153	d__Bacteria
ASV_10154	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales
ASV_10155	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10156	d__Bacteria
ASV_10157	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
ASV_10158	d__Bacteria
ASV_10159	d__Bacteria
ASV_1016	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
ASV_10160	d__Bacteria
ASV_10161	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10162	d__Bacteria
ASV_10163	d__Bacteria
ASV_10164	d__Bacteria
ASV_10165	d__Bacteria
ASV_10166	d__Bacteria
ASV_10167	d__Bacteria
ASV_10168	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10169	d__Bacteria
ASV_1017	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea
ASV_10170	d__Bacteria
ASV_10171	d__Bacteria
ASV_10172	d__Bacteria
ASV_10173	d__Bacteria
ASV_10174	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Hoeflea;s__Hoeflea sp002707605
ASV_10175	d__Bacteria
ASV_10176	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10177	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10178	d__Bacteria
ASV_10179	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_1018	d__Bacteria
ASV_10180	d__Bacteria
ASV_10181	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10182	d__Bacteria
ASV_10183	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10184	d__Bacteria
ASV_10185	d__Bacteria
ASV_10186	d__Bacteria
ASV_10187	d__Bacteria
ASV_10188	d__Bacteria
ASV_10189	d__Bacteria
ASV_1019	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
ASV_10190	d__Bacteria
ASV_10191	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10192	d__Bacteria
ASV_10193	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10194	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10195	d__Bacteria
ASV_10196	d__Bacteria
ASV_10197	d__Bacteria
ASV_10198	d__Bacteria
ASV_10199	d__Bacteria
ASV_102	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter ureolyticus
ASV_1020	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia
ASV_10200	d__Bacteria
ASV_10201	d__Bacteria
ASV_10202	d__Bacteria
ASV_10203	d__Bacteria
ASV_10204	d__Bacteria
ASV_10205	d__Bacteria
ASV_10206	d__Bacteria
ASV_10207	d__Bacteria
ASV_10208	d__Bacteria
ASV_10209	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1021	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10210	d__Bacteria
ASV_10211	d__Bacteria
ASV_10212	d__Bacteria
ASV_10213	d__Bacteria
ASV_10214	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10215	d__Bacteria
ASV_10216	d__Bacteria
ASV_10217	d__Bacteria
ASV_10218	d__Bacteria
ASV_10219	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1022	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10220	d__Bacteria
ASV_10221	d__Bacteria
ASV_10222	d__Bacteria
ASV_10223	d__Bacteria;p__Firmicutes;c__Bacilli
ASV_10224	d__Bacteria
ASV_10225	d__Bacteria
ASV_10226	d__Bacteria
ASV_10227	d__Bacteria
ASV_10228	d__Bacteria
ASV_10229	d__Bacteria
ASV_1023	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
ASV_10230	d__Bacteria
ASV_10231	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10232	d__Bacteria
ASV_10233	d__Bacteria
ASV_10234	d__Bacteria
ASV_10235	d__Bacteria
ASV_10236	d__Bacteria
ASV_10237	d__Bacteria
ASV_10238	d__Bacteria
ASV_10239	d__Bacteria
ASV_1024	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
ASV_10240	d__Bacteria
ASV_10241	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas aquamarina
ASV_10242	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10243	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10244	d__Bacteria
ASV_10245	d__Bacteria
ASV_10246	d__Bacteria
ASV_10247	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea;s__Defluviitalea phaphyphila
ASV_10248	d__Bacteria
ASV_10249	d__Bacteria
ASV_1025	d__Bacteria
ASV_10250	d__Bacteria
ASV_10251	d__Bacteria
ASV_10252	d__Bacteria
ASV_10253	d__Bacteria
ASV_10254	d__Bacteria
ASV_10255	d__Bacteria
ASV_10256	d__Bacteria
ASV_10257	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10258	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10259	d__Bacteria
ASV_1026	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus
ASV_10260	d__Bacteria
ASV_10261	d__Bacteria
ASV_10262	d__Bacteria
ASV_10263	d__Bacteria
ASV_10264	d__Bacteria
ASV_10265	d__Bacteria
ASV_10266	d__Bacteria
ASV_10267	d__Bacteria
ASV_10268	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10269	d__Bacteria
ASV_1027	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10270	d__Bacteria
ASV_10271	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp000246875
ASV_10272	d__Bacteria
ASV_10273	d__Bacteria
ASV_10274	d__Bacteria
ASV_10275	d__Bacteria
ASV_10276	d__Bacteria
ASV_10277	d__Bacteria
ASV_10278	d__Bacteria
ASV_10279	d__Bacteria
ASV_1028	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella urininfantis
ASV_10280	d__Bacteria
ASV_10281	d__Bacteria
ASV_10282	d__Bacteria
ASV_10283	d__Bacteria
ASV_10284	d__Bacteria
ASV_10285	d__Bacteria
ASV_10286	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10287	d__Bacteria
ASV_10288	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10289	d__Bacteria
ASV_1029	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sputigena
ASV_10290	d__Bacteria
ASV_10291	d__Bacteria
ASV_10292	d__Bacteria
ASV_10293	d__Bacteria
ASV_10294	d__Bacteria
ASV_10295	d__Bacteria
ASV_10296	d__Bacteria
ASV_10297	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10298	d__Bacteria
ASV_10299	d__Bacteria
ASV_103	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1030	d__Bacteria
ASV_10300	d__Bacteria
ASV_10301	d__Bacteria
ASV_10302	d__Bacteria
ASV_10303	d__Bacteria
ASV_10304	d__Bacteria
ASV_10305	d__Bacteria
ASV_10306	d__Bacteria
ASV_10307	d__Bacteria
ASV_10308	d__Bacteria
ASV_10309	d__Bacteria
ASV_1031	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners
ASV_10310	d__Bacteria
ASV_10311	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_10312	d__Bacteria
ASV_10313	d__Bacteria
ASV_10314	d__Bacteria
ASV_10315	d__Bacteria
ASV_10316	d__Bacteria
ASV_10317	d__Bacteria
ASV_10318	d__Bacteria
ASV_10319	d__Bacteria
ASV_1032	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae
ASV_10320	d__Bacteria
ASV_10321	d__Bacteria
ASV_10322	d__Bacteria
ASV_10323	d__Bacteria
ASV_10324	d__Bacteria
ASV_10325	d__Bacteria
ASV_10326	d__Bacteria
ASV_10327	d__Bacteria
ASV_10328	d__Bacteria
ASV_10329	d__Bacteria
ASV_1033	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV_10330	d__Bacteria
ASV_10331	d__Bacteria
ASV_10332	d__Bacteria
ASV_10333	d__Bacteria
ASV_10334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_10335	d__Bacteria
ASV_10336	d__Bacteria
ASV_10337	d__Bacteria
ASV_10338	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10339	d__Bacteria
ASV_1034	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus
ASV_10340	d__Bacteria
